code_insee;ville_1;ville_2;similarité
01001;L'ABERGEMENT-CLEMENCIAT;ABERGEMENT-CLEMENCIAT(L');87.5
01001;L'ABERGEMENT-CLEMENCIAT;L ABERGEMENT CLEMENCIAT;91.30434782608697
01001;L'ABERGEMENT-CLEMENCIAT;L'ABERGEMENT-CLEMENCIA;97.77777777777777
01001;L'ABERGEMENT-CLEMENCIAT;ABERGEMENT CLEMENCIAT;90.9090909090909
01001;L'ABERGEMENT-CLEMENCIAT;ABERGEMENT-CLEMENCIA;93.02325581395348
01001;L'ABERGEMENT-CLEMENCIAT;L'ABERGEMENT CLEMENCIA;93.33333333333333
01001;L'ABERGEMENT-CLEMENCIAT;L'ABERGEMENT CLEMENCIAT;95.65217391304348
01001;L'ABERGEMENT-CLEMENCIAT;L ABERGEMENT CLEMENCIA;88.88888888888889
01001;L'ABERGEMENT-CLEMENCIAT;L ABERGEMENT-CLEMENCIAT;95.65217391304348
01001;L'ABERGEMENT-CLEMENCIAT;ABERGEMENT CLEMENCIA;88.37209302325581
01001;L'ABERGEMENT-CLEMENCIAT;ABERGEMENT-CLEMENCIAT;95.45454545454545
01001;ABERGEMENT-CLEMENCIAT(L');L ABERGEMENT CLEMENCIAT;83.33333333333334
01001;ABERGEMENT-CLEMENCIAT(L');L'ABERGEMENT-CLEMENCIA;85.1063829787234
01001;ABERGEMENT-CLEMENCIAT(L');ABERGEMENT CLEMENCIAT;86.95652173913044
01001;ABERGEMENT-CLEMENCIAT(L');ABERGEMENT-CLEMENCIA;88.88888888888889
01001;ABERGEMENT-CLEMENCIAT(L');L'ABERGEMENT CLEMENCIA;80.85106382978724
01001;ABERGEMENT-CLEMENCIAT(L');L'ABERGEMENT CLEMENCIAT;83.33333333333334
01001;ABERGEMENT-CLEMENCIAT(L');L ABERGEMENT CLEMENCIA;80.85106382978724
01001;ABERGEMENT-CLEMENCIAT(L');L ABERGEMENT-CLEMENCIAT;87.5
01001;ABERGEMENT-CLEMENCIAT(L');ABERGEMENT CLEMENCIA;84.44444444444444
01001;ABERGEMENT-CLEMENCIAT(L');ABERGEMENT-CLEMENCIAT;91.30434782608697
01001;L ABERGEMENT CLEMENCIAT;L'ABERGEMENT-CLEMENCIA;88.88888888888889
01001;L ABERGEMENT CLEMENCIAT;ABERGEMENT CLEMENCIAT;95.45454545454545
01001;L ABERGEMENT CLEMENCIAT;ABERGEMENT-CLEMENCIA;88.37209302325581
01001;L ABERGEMENT CLEMENCIAT;L'ABERGEMENT CLEMENCIA;93.33333333333333
01001;L ABERGEMENT CLEMENCIAT;L'ABERGEMENT CLEMENCIAT;95.65217391304348
01001;L ABERGEMENT CLEMENCIAT;L ABERGEMENT CLEMENCIA;97.77777777777777
01001;L ABERGEMENT CLEMENCIAT;L ABERGEMENT-CLEMENCIAT;95.65217391304348
01001;L ABERGEMENT CLEMENCIAT;ABERGEMENT CLEMENCIA;93.02325581395348
01001;L ABERGEMENT CLEMENCIAT;ABERGEMENT-CLEMENCIAT;90.9090909090909
01001;L'ABERGEMENT-CLEMENCIA;ABERGEMENT CLEMENCIAT;88.37209302325581
01001;L'ABERGEMENT-CLEMENCIA;ABERGEMENT-CLEMENCIA;95.23809523809523
01001;L'ABERGEMENT-CLEMENCIA;L'ABERGEMENT CLEMENCIA;95.45454545454545
